Feature,F_Score,P_Value,Selected
hemo,427.81223917391355,1.5004515021199996e-62,True
sg,283.4242532376187,6.05563087927622e-47,True
pcv,270.1108466513289,2.5018272214251672e-45,True
htn,256.18990384615427,1.3368427884183095e-43,True
al,205.06698702347336,6.849531976456601e-37,True
dm,182.90488323373177,8.745477365654751e-34,True
rc,156.17065331139207,7.394306553777996e-30,True
pc,102.81818181818215,2.4335576354976597e-21,True
bu,86.08064824876809,1.882891901495133e-18,True
appet,72.86314847942793,4.3670588590351814e-16,True
pe,69.60000000000021,1.7233725461702367e-15,False
ane,57.68664047151274,2.8629417372479963e-13,False
su,49.29476360688354,1.160885960101203e-11,False
bgr,43.719700310616304,1.427846025292495e-10,False
pcc,43.50000000000015,1.5776225527938343e-10,False
rbc,42.911751560013165,2.0612912895756292e-10,False
bp,42.58575407087713,2.3910557993384077e-10,False
sc,39.96894661570847,7.912001392657073e-10,False
sod,31.824550445920707,3.4989773832005896e-08,False
cad,24.235387045813646,1.3190174453401564e-06,False
ba,19.949044585987295,1.0765794251168218e-05,False
age,12.691319502873904,0.00041854472991477697,False
wc,10.348407968256115,0.0014174735829551323,False
pot,1.623638649165337,0.20343543007648876,False
